Date,Open,High,Low,Last,Close
21/06/2022,645.42,651.2,644.82,648.03,648.03
20/06/2022,636.75,641.43,633.39,641.43,641.43
17/06/2022,637.21,646.18,633.44,635.75,635.75
16/06/2022,658.38,660.42,636.5,638.34,638.34
15/06/2022,656.56,665.27,650.27,663.21,663.21
14/06/2022,667.68,668.75,652.87,652.87,652.87
13/06/2022,670.76,671.85,658.95,661.54,661.54
10/06/2022,694.61,695.67,680.99,681.97,681.97
09/06/2022,706.28,712.44,699.58,699.58,699.58
08/06/2022,714.01,714.01,706.4,710.99,710.99
07/06/2022,708.52,710.2,703.44,709.14,709.14
06/06/2022,705.73,716.13,705.65,711.82,711.82
03/06/2022,707.36,707.79,699.83,700.69,700.69
02/06/2022,703.15,705.17,699.37,703.44,703.44
01/06/2022,714.87,714.87,700.07,701.19,701.19
31/05/2022,714.4,719,711.45,712.88,712.88
30/05/2022,707.49,711.67,706.86,708.34,708.34
27/05/2022,694.97,702.28,693.06,702.28,702.28
26/05/2022,684.54,694.18,684.36,692.8,692.8
25/05/2022,684.83,686.43,677.59,684.11,684.11
24/05/2022,685.47,688.56,679.7,679.88,679.88
23/05/2022,692.22,694.02,685.11,694.02,694.02
20/05/2022,681.29,692.19,681.2,682.96,682.96
19/05/2022,681.65,684.86,669.42,678.35,678.35
18/05/2022,703.23,703.75,692.45,693.03,693.03
17/05/2022,699.82,707.21,698.29,702.58,702.58
16/05/2022,690.08,696.34,687.64,694.62,694.62
13/05/2022,682.37,694.68,680.7,694.13,694.13
12/05/2022,663.69,680.06,662.22,675.09,675.09
11/05/2022,675.36,683.61,666.96,682.7,682.7
10/05/2022,671.86,679.59,669.59,669.74,669.74
09/05/2022,677.82,684.11,666.17,666.17,666.17
06/05/2022,692.28,692.56,675.96,682.19,682.19
05/05/2022,713.4,714.7,694.4,696.19,696.19
04/05/2022,706.99,707.16,698.68,698.68,698.68
03/05/2022,701.74,706,699.3,705.95,705.95
02/05/2022,702.52,703.03,681.1,694.44,694.44
29/04/2022,712.39,719.1,709.04,710.98,710.98
28/04/2022,704.01,707.64,699.42,705.93,705.93
27/04/2022,693.75,699.65,687.74,696.35,696.35
26/04/2022,711.24,711.38,694.22,695.57,695.57
25/04/2022,700.95,708.39,696.33,699.17,699.17
22/04/2022,718.55,723.78,716.8,717.26,717.26
21/04/2022,727.21,732.58,726,729.05,729.05
20/04/2022,721.74,730.77,717.32,725.61,725.61
19/04/2022,716.37,719.83,707.89,716.57,716.57
14/04/2022,719.66,723.55,717.02,719.7,719.7
13/04/2022,713.23,718.07,711.61,718.07,718.07
12/04/2022,708.33,718.69,705.03,716.38,716.38
11/04/2022,717.75,721.06,713.24,714.74,714.74
08/04/2022,725.35,727.26,721.26,724.75,724.75
07/04/2022,722.07,727.33,715.03,716.53,716.53
06/04/2022,734.18,734.46,715.37,719.67,719.67
05/04/2022,741.31,743.05,732.94,736.02,736.02
04/04/2022,732.18,739.22,728.31,737.8,737.8
01/04/2022,725.99,731.63,723.32,728,728
31/03/2022,732.59,735.59,724.2,724.2,724.2
30/03/2022,735.53,735.53,730.64,733.88,733.88
29/03/2022,729.6,739.27,728.96,735.15,735.15
28/03/2022,724.36,729.96,720.36,720.36,720.36
25/03/2022,721.15,728.85,717.92,723.9,723.9
24/03/2022,722.09,723.92,718.25,720.85,720.85
23/03/2022,730.84,732.23,718.35,721.81,721.81
22/03/2022,722.19,730,720.88,728.27,728.27
21/03/2022,715.42,721.09,714.46,718.37,718.37
18/03/2022,709.95,716.47,699.86,716.36,716.36
17/03/2022,708.74,710.53,700.61,707.45,707.45
16/03/2022,688.25,707.22,686.32,703.52,703.52
15/03/2022,666.22,677.33,660,676.38,676.38
14/03/2022,677.24,681.85,670.81,674.3,674.3
11/03/2022,673.04,688.28,665.15,674.8,674.8
10/03/2022,687.23,687.32,670.05,671.85,671.85
09/03/2022,670.48,688.33,668.44,688.33,688.33
08/03/2022,660.73,676.94,652.8,656.74,656.74
07/03/2022,660.35,681.34,653.09,669.04,669.04
04/03/2022,700.14,701.55,671.68,671.73,671.73
03/03/2022,721.19,726.34,703.78,705.42,705.42
02/03/2022,711.54,726.27,709.44,721,721
01/03/2022,728.52,731.06,713.46,713.46,713.46
28/02/2022,716.76,730.93,712.76,729.72,729.72
25/02/2022,714.29,728.75,708.25,727.85,727.85
24/02/2022,701.84,713.32,699.99,708.55,708.55
23/02/2022,734.18,741.02,726.63,727.91,727.91
22/02/2022,714.76,737.2,714.76,731.96,731.96
21/02/2022,747.27,747.27,725.36,729.73,729.73
18/02/2022,751.27,752.77,742.84,744.89,744.89
17/02/2022,759.48,760.76,748.23,751.2,751.2
16/02/2022,757.43,763.02,754.53,758.92,758.92
15/02/2022,745.49,755.98,745.4,755.22,755.22
14/02/2022,748.96,749.39,737.98,747.89,747.89
11/02/2022,754.02,764.65,754.02,761.5,761.5
10/02/2022,765.79,770.23,758.84,762.65,762.65
09/02/2022,765.51,771.64,763.88,769.94,769.94
08/02/2022,755.24,757.89,750.7,755.79,755.79
07/02/2022,750.23,758.32,746.02,755.69,755.69
04/02/2022,753.74,756.25,742.01,747.17,747.17
03/02/2022,763.9,764.06,748.8,748.81,748.81
02/02/2022,768.76,772.23,765.56,765.56,765.56
01/02/2022,761.91,765.64,759.03,765.22,765.22
31/01/2022,754.33,759.11,749.23,755.2,755.2
28/01/2022,749.21,749.87,734.54,744.26,744.26
27/01/2022,737.36,758.87,737.36,753.79,753.79
26/01/2022,746.34,756.86,746.34,752.43,752.43
25/01/2022,746.62,747.05,734.42,739.86,739.86
24/01/2022,761.04,764.82,734.71,738.66,738.66
21/01/2022,763.77,768.71,755.92,763.7,763.7
20/01/2022,776.09,778.26,770.77,778.26,778.26
19/01/2022,763.02,779.94,761.84,772.56,772.56
18/01/2022,776.57,776.89,766.09,769.7,769.7
17/01/2022,782.02,784.32,775.08,781.32,781.32
14/01/2022,783.14,788.33,781.11,783.53,783.53
13/01/2022,789.74,796.12,788.46,791.33,791.33
12/01/2022,788.66,794.13,785.6,790.44,790.44
11/01/2022,781.89,783.73,777.36,782.35,782.35
